0,      800,    0.15
0,      900,    0.2
0,      1200,   0.25
50,     700,    0.1
200,    1150,   0.25
300,    500,    0.1
300,    700,    0.15
350,    0,      0.1
350,    100,    0.1 
350,    800,    0.2
350,    1100,   0.25
400,    650,    0.15
450,    400,    0.1
500,    300,    0.1
500,    750,    0.2
550,    0,      0.15
600,    200,    0.15
600,    500,    0.15
600,    1000,   0.25
650,    300,    0.15
650,    400,    0.15
650,    700,    0.2
700,    1500,   0.3
800,    150,    0.2
800,    600,    0.2
850,    900,    0.25
900,    300,    0.2
900,    450,    0.2
1000,   850,    0.25
1100,   0,      0.25
1100,   200,    0.25
1100,   800,    0.25
1200,   300,    0.25
1250,   400,    0.25
1300,   500,    0.25
1300,   700,    0.25
1400,   0,      0.3
1400,   1400,   0.3
1450,   200,    0.3
1500,   300,    0.3
1650,   400,    0.3
1800,   500,    0.3
1850,   100,    0.35
1900,   200,    0.35
1900,   600,    0.3
1900,   1200,   0.3
2000,   300,    0.35
2000,   750,    0.3
2000,   1100,   0.3
2050,   900,    0.3
2100,   400,    0.35
2200,   50,     0.4
2200,   450,    0.35
2300,   500,    0.35
2450,   200,    0.4
2600,   250,    0.4
2700,   600,    0.35
2750,   300,    0.4
2900,   350,    0.4
